judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
PERBANDINGAN PENGGUNAAN GRAY LEVEL CO-OCURRENCE MATRIX  DAN GRAY LEVEL RUN LENGHT MATRIX  UNTUK PENGENALAN SENYUM,Penulis : ADIK PRAS,"Dosen Pembimbing I : Cucun Very Angkoso S.T., M.T.","Dosen Pembimbing II :Rima Tri Wahyuningrum S.T., M.T.","Senyum merupakan salah satu fitur biometrik yang dapat dijadikan sebagai bukti autentik dari seseorang. Salah satu bentuk penerapan pengenalan pola ini adalah mengetahui senyum seseorang sehingga nantinya senyum tersebut dapat dikenali oleh komputer dan disimpan dalam database. Penelitian ini bertujuan mengembangkan penelitian yang sebelumnya yaitu pengenalan pola wajah. Sistem pengenalan ini ada dua tahapan, tahap pertama menghitung ekstraksi fitur pada gambar wajah menggunakan Gray level Co-Occurrence Matrix dan Gray Level Run Lenght Matrix untuk menghasilkan pola senyum, tahap kedua menghitung jarak kemiripan menggunakan Manhattan Distance yaitu semakin rendah nilai jarak suatu citra maka semakin tinggi tingkat kemiripannya. Tugas Akhir ini melakukan uji coba pada 201 gambar foto wajah dalam basis data yang dibagi menjadi tiga kelas yaitu diam, senyum, dan tawa untuk dilakukan ekstraksi fitur menggunakan Gray Level Run leght Matrix dan Gray level Co-Occurrence Matrix, serta menghitung  jarak kemiripan menggunakan Manhattan Distance. Setelah didapat nilai hasil pengukuran jarak kemiripan terhadap ketiga kelas, nilai tersebut dirata – rata untuk mendapatkan hasil yang diinginkan. Hasil yang diperoleh memiliki kemiripan  yang cukup tinggi dengan akurasi terbaik mencapai 100% pada GLCM dan 71% pada GLRM","A smile is one of the biometric features which can be used as authentic evidence of a person. One form of this is the application of pattern recognition knowing smile the smile of someone that will be recognized by the computer and stored in a database. This research aims to develop a previous study facial pattern recognition. This recognition system there are two stages, the first stage calculates the face image feature extraction using the Gray-level Co-Occurrence Matrix and Gray Level Run Lenght Matrix to produce a smile pattern, the second stage calculates the similarity distance using Manhattan Distance is the lower the value the greater the distance of an image high degree of similarity. This final testing on 201 face images in the database are divided into three classes, namely silence, smiles, and laughter for feature extraction using Gray Level Run leght Matrix and Gray-level Co-Occurrence Matrix, as well as calculate the similarity using the Manhattan distance Distance. Having obtained the value of the similarity measurement of the distance to the third grade, the value is averaged - averaged to get the desired results. The results obtained have a high enough similarity with the best accuracy reaches 100% on GLCM and 71% in GLRM."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
SEGMENTASI PEMBULUH DARAH RETINA PADA CITRA FUNDUS MENGGUNAKAN OPERASI MORFOLOGI,Penulis : AKHMAD NUVAIL,"Dosen Pembimbing I : Dr. Arif Muntasa S.Si., M.T.","Dosen Pembimbing II :Dr. Indah Agustien S.Kom., M.Kom.","Segmentasi adalah suatu proses untuk mengekstraksi atau menampilkan objek tertentu pada citra sehingga obyek tersebut terlihat lebih dominan. Pada penelitian Tugas Akhir ini  proses segmentasi menggunakan Operasi Morfologi yang diantaranya adalah Morfologi Bottom-Hat, Morfologi Dilasi, dan Morfologi Opening. Dalam penelitian ini ada dua tahapan proses segmentasi pembuluh darah retina pada citra fundus ini, yakni : tahapan Preprocessing dan tahapan Segmentasi. Untuk tahapan Preprocessing sendiri terdapat beberapa proses diantaranya : konversi citra RGB ke Green Channel agar mendapatkan komposisi saturasi yang tepat, perbaikan citra menggunakan Contrast Limited Adaptive Histogram Equalization (CLAHE) yaitu dengan meningkatkan nilai kontras pada citra Green Channel, kemudian ada proses filtering citra menggunakan 2D-Gaussian Filter yang berfungsi untuk memperjelas obyek pada citra. Untuk tahap kedua yaitu segmentasi citra yang terdiri dari beberapa proses diantaranya : Morfologi Bottom-Hat, Thresholding, Binerisasi, Adaptive Median Filter, Dilasi, Opening, dan perhitungan akurasi menggunakan Balanced Accuracy. Dari hasil uji coba yang dilakukan pada 20 citra Digital Retinal Image for Vessel Extraction (DRIVE) diperoleh hasil akhir segmentasi pembuluh darah pada retina dengan akurasi sebesar 85,97%. Operasi Morfologi terbukti dapat menghasilkan citra hasil segmentasi  yang cukup baik dengan akurasi yang tinggi.","Segmentation is a process to extract or display certain object in the image so that the object more dominan looks like. In this research segmentation process using morphology operation such as : Morphology Bottom-Hat, Morphology Dilation, and Morphology Opening. In this research there are two step to segmentation the retinal blood vessel image, processing step and segmentation step. In preprocessing step it self there are several process such as : RGB to Green Channel conversion its use to get a good saturation composition, image enhancement using Contrast Limited Adaptive Histogram Equalization (CLAHE) that is increase contrast value of the Green Channel image, and filtering image using 2D-Gaussian Filter that can make the image more clearly. For the second step that is segmentation which consist of several process such as : Morphology Bottom-Hat, Thresholding, Binaryzation, Adaptive Median Filter, Morphology Dilation, Morphology Opening, and Balanced Accuracy for . The test result that passed from the 20 fundus image, Digital Retinal Image for Vessel Extraction (DRIVE) obtain final test result segmentation blood vessel retinal image with the accuracy value 85,97%. Morphology operation are proven to produce good segmented image with high accuracy score."
,,,,,
,,,,,
,,,,,
SISTEM PERAMALAN TINGKAT PENGANGGURAN WILAYAH BANGKALAN MENGGUNAKAN ALGORITMA BACKPROPAGATION,Penulis : ALI IMRON ZAMZAMI,"Dosen Pembimbing I : Ba'in Khusnul Khotimah, S.T., M.Kom.","Dosen Pembimbing II :Firli Irhamni, S.T., M.Kom.","Kabupaten Bangkalan Mempunyai jumlah penduduk tahun 2010 sebanyak 906.761 yang diikuti dengan jumlah pengangguran yang cukup tinggi, tentunya pengangguran menjadi masalah sosial yang harus diperhatikan.  Berdasarkan permasalahan tersebut maka perlu adanya sistem peramalan sehingga bisa menekan angka pengangguran di Kabupaten Bangkalan. Sistem ini dibuat menggunakan Algoritma Backpropagation yang mampu melakukan penyesuaian bobot penghubung sehingga dapat dijadikan solusi untuk menentukan jumlah pengangguran. Jaringan-jaringan dilatih dengan menggunakan beberapa variabel masukan yaitu : data tahun 2006-2010. Setelah Sistem peramalan dengan menggunakan Algoritma Backpropagation ini melalui proses uji coba didapatkan nilai konfigurasi parameter terbaik ialah konfigurasi lerning rate sebesar 0.7 toleransi error 0.1, maksimal epoch 50 dan hidden layer 14.  Parameter tersebut dipilih menjadi parameter terbaik karena menghasilkan jumlah iterasi yang memiliki nilai akurasi error terbaik saat sistem melakukan pengujian yaitu didapatkan MSE sebesar 37206,6 dan MAPE sebesar 1,34% yang mana diperoleh jumlah pengangguran di Kabupaten Bangkalan pada tahun 2010 adalah 24.637 jiwa. Sedangkan pendataan jumlah pengangguan tahun 2010 yang dilakukan oleh BPS Kabupaten Bangakalan adalah 25008 jiwa.
	
Kata Kunci: Peramalan, Algoritma Backpropagation, Pengangguran.
","Bangkalan district Having a population of 906,761 in 2010, followed by a sufficient amount of high unemployment, unemployment would be a social problem that should be noted. Based on these problems then the need to be able to press the forecasting system in the Bangkalan Regency unemployment. The system is made using Backpropagation algorithm that can handle the weight adjustment can be liaison until a solution to determine the amount of unemployment. Networks trained with some input variables such as: data 2006-2010. After forecasting system using Backpropagation algorithm is obtained by a process of trial configuration parameter value is best lerning configuration error tolerance rate of 0.7 0.1, maximum epoch 50 and 14 hidden layer. The parameters were chosen to be the best parameter for producing a number of iterations the accuracy of the best in the system error that is available for testing of MSE and MAPE 37206.6 of 1.34%, which is obtained in the Bangkalan Regency unemployment in 2010 was 24,637 souls. While collecting data in 2010 total nuisance committed by the BPS Bangakalan District  is 25008 souls.

Keywords	: Forecasting, Backpropagation Algorithm, Unemployment.
"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Visualisasi Proses Terjadinya Hujan Berbasis Second Life,Penulis : Anggit Pratama,"Dosen Pembimbing I : Arik Kurniawati,S.Kom, M.Kom.","Dosen Pembimbing II :Dr.Indah Agustien Siradjuddin, S.Kom, M.Kom.      ","ABSTRAK
Perkembangan teknologi masa kini telah memungkinkan manusia untuk merasakan suatu pengalaman yang nyata tanpa perlu adanya dunia luar atau materi. Teknologi ini sering disebut teknologi virtual reality. Teknologi virtual reality dapat diterapkan di berbagai bidang salah satunya adalah didalam dunia pembelajaran. Didalam penelitian ini akan membuat suatu pembelajaran mengenai proses terjadinya hujan yang dikemas didalam simulasi virtual reality. Tujuan utama dari pengembangan virtual reality adalah untuk menirukan alam nyata ke dalam dunia maya semakin membuat kedekatan imitasi animasi realitas ke dalam dunia maya. Kehadiran teknologi virtual reality ini dimanfaatkan semaksimal mungkin dalam kehidupan sehari-hari. Didalam Penelitian ini ditetapkan perilaku yang menjadi objek adalah kegiatan proses terjadinya hujan. Kegunaan Second Life sebagai platform untuk menghidupkan konsep dalam pembelajaran proses terjadinya hujan menjadi 3 dimensi karena Second Life sangat memadai untuk memvisualisasikan sebuah bentuk 3D dan Second Life merupakan Platform yang sangat mendukung untuk membuat suatu pembelajaran. Hasil uji coba visualisasi terhadap responden mendapatkan suatu pembelajaran visualisasi proses hujan dengan cara yang berbeda dan menarik dan mudah dimengerti. 

Kata kunci: Virtual Reality (VR), Multimedia Proses Hujan, Second Life 
","The development of today's technology has allowed people to feel a real experience without the need for external or material world. This technology is often called virtual reality technology. Virtual reality technology can be applied in many fields one of which is in the world of learning. In this research will make a study on the occurrence of rain is packed inside a virtual reality simulation. The main objective of the development of virtual reality is to simulate the real world into the virtual world increasingly making animated proximity imitation of reality into the virtual world. The presence of virtual reality technology is utilized to the maximum extent possible in everyday life. In this study determined that the behavior of the object is the activity of the rain. Uses Second Life as a platform to turn the concept of the learning process into 3-dimensional rain because Second Life is very adequate to visualize the 3D shape and Second Life is an excellent platform to create a learning support. The trial results of visualization of the respondents get a learning process visualization rain in different ways and interesting and easy to understand.

Keywords: Virtual Reality (VR), Multimedia Rain Process, Second Life
 
"
,,,,,
"RANCANGBANGUNSISTEMINFORMASI
AKADEMIKSEKOLAHBERBASIS WEB
 (STUDIKASUS: SMK NEGERI 6 SURABAYA)",Penulis : Anton Leonard Sihombing,"Dosen Pembimbing I : Dr. Arif Muntasa, M.T","Dosen Pembimbing II :Moch. Kautsar Sophan. S.Kom., M.MT.","Pelayanan guru terhadap siswa dan kepada pihak pihak terkait (walikelas dan bidang Kurikulum) dalam pengumpulan penilaian semester dan tahunan masih bersifat manual dan lambat. Sebagai solusi yang tepat maka aplikasi web sistem akademik sekolah dibangun untuk mengatasi permasalahan yang dihadapi oleh segenap stakeholder sekolah.. Dengan adanya aplikasi website ini, pihak kurikulum,wali kelas serta guru dapat menyelesaikan waktu dalam penyerahan nilai raport kepada siswa. Dan juga tidak membatasi aktivitas guru dalam melakukan tugasnya terlebih pada saat pengumpulan nilai siswa-siswi.
Kata kunci : website, stakeholder, sistem akademik sekolah, kurikulum ","Service teachers to the students and to the relevant parties (class guardian Curriculum) in the collection of the annual assessment and the semester is still manual and slow. As a solution, the right academic school system web applications built to overcome the problems faced by all school stakeholders . With the application of this website, the curriculum, class guardian and the teacher can complete the submission time value of report cards to students. And also do not restrict the activities of teachers in performing their duties at the time of collection value especially students. 

Keywords: websites, stakeholders, academic school system, curriculum"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Sistem Pendukung Keputusan Pariwisata Unggulan di Jawa Timur Dengan Visualisasi Geografi Menggunakan Metode FAHP dan MAUT,Penulis : Ayu Imawati Yahya,Dosen Pembimbing I : Bain Khusnul Khitimah,Dosen Pembimbing II :Rima Tri Wahyuningrum,"Dinas Kebudayaan dan Pariwisata Provinsi Jawa Timur memiliki tujuan yang harus dicapai yang erat kaitannya dengan pemerataan pengetahuan masyarakat mengenai obyek-obyek wisata di seluruh Jawa Timur. Pencapaian tujuan tersebut dapat dilakukan dengan pemanfaatan sumber daya yang dimiliki secara optimal. Prosedur yang ada selama ini belum ada software penetapan obyek wisata unggulan  secara khusus. Untuk itu, perlu dibuat sebuah sistem pendukung keputusan. Salah satu metode yang cocok dalam penelitian ini adalah metode Fuzzy Anayitical Hierarchy Process (FAHP) dan Multi Attribute Utility Theory (MAUT). Metode ini mampu menyeleksi dan mencari alternatif terbaik dari sejumlah pilihan berdasarkan kriteria yang telah ditetapkan dengan mencari nilai pembobotan untuk setiap kriteria beserta perangkingannya. Selain membantu kinerja admin, juga berpengaruh terhadap masyarakat sebagai user yang bisa menggunakan sistem mengingat berwisata merupakan kebutuhan jasmani yang penting tanpa kita sadari karena dapat menghilangkan penat akibat beraktivitas seharian. Hasil penelitian ini mampu menyeleksi pariwisata unggulan dengan perangkingan obyek wisata terbaik sesuai penilaian sistem berdasarkan prioritas kriteria yang telah ditetapkan. Dari hasil uji coba sistem menunjukkan nilai akurasi dalam sistem pendukung keputusan pariwisata unggulan sebesar 80%.


Kata Kunci: Sistem Pendukung Keputusan, Fuzzy Analitical Hirarcy Process, Multi Attribute  Utility Theory, Pariwisata Unggulan
","Department of Culture and Tourism of the Province of East Java has a goal to be achieved is closely related to the distribution of public knowledge about the tourist resorts in the whole of East Java. Achievement of these objectives can be done with the utilization of its resources optimally. Procedures that have so far been no determination software specifically leading tourist attraction. For that, need to be made a decision support system. One suitable method in this study is the method of Fuzzy Anayitical Hierarchy Process (FAHP) and Multi-Attribute Utility Theory (DEATH). This method is able to select and search for the best alternative from a number of options based on criteria established by finding the value of the weighting for each criterion and its perangkingannya. In addition to helping the performance admin, also affects the society as a user who can use the system remembers traveled an essential bodily needs without us knowing because it can eliminate the fatigue caused by the move all day. The result is able to select the leading tourism attractions of ranking the best fit based on priority criteria scoring system that has been set. From the test results demonstrate the value of system accuracy in decision support systems leading tourism by 80%.


Keywords: Decision Support Systems, Fuzzy Analitical Hirarcy Process, Multi Attribute Utility Theory, Leading Tourism
"
,,,,,
Pengenalan Pola Mata dan Hidung untuk Penentuan Jender Menggunakan Gray Level Run Lenght Matrix,Penulis : Bagus Imansyah,"Dosen Pembimbing I : Cucun Very Angkoso, S.T., M.T","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T., M.T","Pengertian jenis kelamin adalah merupakan suatu akibat dari dimorfisme seksual. Telah dilakukan penelitian di Jepang bahwa burung gagak dapat membedakan jenis kelamin sebuah individu. Salah satu bentuk penerapan penentuan jenis kelamin (Jender) ini adalah mengetahui bentuk mata dan hidung seseorang sehingga bentuk mata dan hidung tersebut dapat dikenali oleh komputer dan disimpan dalam database. Pada penelitian Tugas Akhir terdapat dua tahapan, yaitu tahapan pertama menghitung ekstraksi fitur mata dan hidung menggunakan Gray Level Run Length Matrix untuk menghasilkan pola mata dan hidung. Tahap kedua menghitung jarak kemiripan menggunakan Euclidean Distance, yaitu semakin rendah nilai jarak suatu citra maka akan semakin tinggi tingkat kemiripannya. Penelitian Tugas Akhir ini dilakukan uji coba pada 200 gambar mata dan hidung didalam database yang akan dibagi menjadi dua kelas yaitu laki - laki dan perempuan untuk dilakukan ekstraksi fitur menggunakan Gray Level Run Length Matrix dan hasil ekstraksi fitur akan dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Setelah didapat nilai hasil pengukuran jarak kemiripan terhadap kedua kelas, nilai tersebut akan dirata – rata untuk mendapatkan hasil yang diinginkan. Dari hasil uji coba perbandingan rata – rata nilai hasil pengukuran Euclidean Distance diperoleh akurasi sebesar 75% pada 20 data uji coba dan 180 dengan jumlah citra yang ditampilkan adalah 5.","Understanding gender is a result of sexual dimorphism. Research has been conducted in Japan that crows can distinguish the sex of an individual. One form of implementation of sex determination (Gender) This form is to know one's eyes and nose so that the shape of the eyes and the nose can be recognized by the computer and stored in a database. In the final study, there are two stages, the first stage calculates the eyes and nose extracting features using Gray Level Run Length Matrix to produce the pattern of eyes and nose. The second phase calculates distances using the Euclidean Distance similarity, ie the lower the value range of an image, the higher the level of similarity. The final research trials conducted on 200 eyes and nose images in the database which will be divided into two classes: men - men and women for feature extraction using the Gray Level Run Length Matrix and feature extraction results will be measured using the Euclidean distance similarity Distance . Having obtained the value of the similarity measurement of the distance to the second class, the value will be averaged - averaged to get the desired results. Comparison of the test results mean - the average value of the results obtained Euclidean Distance measurement accuracy by 75% at 20 and 180 test data with the number of images displayed is 5."
,,,,,
RANCANG BANGUN APLIKASI INTRUSION PREVENTION SYSTEM PADA JARINGAN BERBASIS PROTOKOL TCP/IP MENGGUNAKAN SNORT DAN IPTABLES,Penulis : BAHRUL ULUM,"Dosen Pembimbing I : Meidya Koeshardianto, S.Si., M.T","Dosen Pembimbing II :Eza Rahmanita, S.T., M.T","Dalam setiap perusahaan tentunya memiliki data penting berkaitan dengan kegiatan bisnis mereka yang perlu dijaga dan diamankan dari orang yang tidak berhak mengaksesnya. Seringkali  muncul aksi ilegal yang mencoba merusak server bahkan sampai mencuri data perusahaan bisa mengakibatkan kesalahan fatal terhadap kelancaran kegiatan bisnis perusahaan disebabkan data yang tidak valid lagi. Menyikapi masalah tersebut, maka diperlukannya sistem monitoring keamanan yang mampu mengamankan server dari tindakan penyusupan. Intrusion Prevention System (IPS) merupakan solusi yang mampu memberikan keamanan pada jaringan server dari tindakan penyusupan. IPS ini mengembangkan Snort sebagai fungsi pendeteksi yang dikombinasikan dengan IPTables Firewall sebagai pencegah adanya penyusupan. IPS ini juga dilengkapi dengan user interface BASE (Basic Analysis and Security Engine)  dan manajemen rule sehingga memudahkan admin untuk memonitor sistem keamanan dari tindakan penyusupan ke jaringan server. Snort akan membuat alert ketika terdeteksi adanya serangan yang disimpan dalam log Snort dan memerintahkan IPTables untuk melakukan drop terhadap alamat penyerang. Kemudian detail serangan bisa dilihat pada tampilan user interface BASE. Dari hasil pengujian, didapatkan bahwa Snort dan IPTables telah bekerja dengan baik menjadi IPS yang mampu memberikan respon secara cepat ketika terdeteksi adanya serangan. Waktu tanggap rata-rata kurang dari 5 detik, dari awal serangan sampai terdeteksinya alert.","Every company has important data that relates with their business activities, it is need to be guarded and secured of people who are no right to access it. It often appears illegal action that tries to damage the server even to steal corporate data which make dangerous mistakes for the smooth operation of the company’s business because the data is not valid. Because of that, indispensable security monitoring system is created to secure the server from intrusion actions. Intrusion Prevention System (IPS) is a solution that give provide security at the network server of the act penetration. This IPS developing Snort as a function of detection, that combined with IPTables Firewall as the prevention of intrusion. IPS is also equipped with a user interface BASE (Basic Analysis and Security Engine) and rule of management that mak it easier for admin to monitor the security system of intruder action to the network server. Snort will make alert when an attack is detected is stored in the log Snort and command iptables to do drop the attacker address. Then the details of attacks can be seen in the user interface display BASE. From the test results, it was found that Snort and IPTables has worked well to IPS that can respond quickly when attacks are detected. The average response time of less than 5 seconds, from the beginning of the attack until the detection alerts."
,,,,,
,,,,,
,,,,,
SISTEM PEROLEHAN CITRA BERBASIS ISI BERDASARKAN TEKSTUR MENGGUNAKAN METODE GABOR FILTER DAN EUCLIDEAN DISTANCE,Penulis : BASIR QIYAM JULIANDI,"Dosen Pembimbing I : Dr. ARIF MUNTASA, S.Si., MT","Dosen Pembimbing II :FITRI DAMAYANTI, S.Kom., M.kom.","Saat ini pencarian citra berbasis teks sudah tidak efektif lagi karena adanya penilaian subjektif dari pengguna dalam merepresentasikan suatu citra. Karena itu diperlukan suatu sistem yang dapat menangani pencarian citra menggunakan query berupa citra atau disebut Sistem Perolehan Citra berbasis Isi (SPCI) atau Content Based Image Retrieval (CBIR). Dengan hal yang seperti ini pada CBIR meskipun ada yang memodifikasi atau merubah nama filenya, tidaklah membuat image searching menjadi rancu karena hal ini tidak didasarkan atas teks atau nama dari sebuah file melainkan berdasarkan ciri baik warna, bentuk maupun tekstur. 
 Dalam  penelitian  Tugas Akhir ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan kelas citra yang  berbeda yaitu: bangunan, bus, dinosaurus, gajah, gunung, kuda, mawar, dan pantai sebagai objek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gabor Filter. Sehingga dari hasil ekstraksi fitur dilakukan pengukuran kemiripan dengan feature vector citra yang sudah diekstraksi terlebih dahulu yang tersimpan dalam database dengan menggunakan metode Euclidean Distance. Citra query dan citra database yang dipergunakan sebanyak 200 citra dengan delapan kelas citra didalamnya. 
Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=0,02 diperoleh akurasi rata-rata presisi sebesar 0.46 pada data pelatihan 190 dan data uji coba 10 dengan ukuran kernel 3x3 dan jumlah citra yang ditampilkan sebanyak 15 citra termirip dengan citra query dan pengenalan terbaik pada kelas bangunan yaitu dengan akurasi presisi 60% .

Kata Kunci: Tekstur, Sistem Perolehan Citra Berbasis Isi, Gabor Filter, Euclidean Distance.
","Currently text-based image retrieval is no longer effective because of the subjective assessment of a user in representing an image. Therefore we need a system that can handle image search using a query image called Content-based Image Retrieval System (SPCI) or Content Based Image Retrieval (CBIR). With things like this on CBIR although there are modifying or changing the file name, it does not make image searching becomes ambiguous because it is not based on the text or the name of a file but by the characteristics of color, shape and texture.
In this final study using texture characteristics as similarity search process images from eight different classes, namely: buildings, buses, dinosaurs, elephants, mountains, horses, roses, and beaches as content-based image acquisition object. The system was built with the main texture feature extraction using Gabor Filters. So from the results of measurements performed feature extraction feature vector similarities with the image that has been extracted beforehand stored in the database using the Euclidean Distance. Query image and database images are used as many as eight classes of 200 images with the image in it.
Of test applications using Euclidean Distance similarity measurement threshold value = 0.02 with an average accuracy obtained a precision of 0.46 at 190 training data and test data 10 with a 3x3 kernel size and number of images are displayed as many as 15 images most similar to the query image and the best introduction to the classroom building with precision accuracy is 60%.
	
Keywords: Texture, Content Based Image Retrieval, Gabor Filter, Euclidean Distance. 
"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GAME EDUKASI MATEMATIKA SEKOLAH DASAR KELAS 3 DENGAN MENGGUNAKAN METODE ADAPTIVE LEARNING,Penulis : CIRA MULDAYAZIS,"Dosen Pembimbing I : ARIK KURNIAWATI,ST.,MT.","Dosen Pembimbing II :ANDHARINI DWI CAHYANI,S.Kom.,M.Kom.","Pengembangan  media pembelajaran interaktif dengan pola pendidikan game dapat meningkatkan motivasi belajar siswa. Game berbasis flash ""Game Edukasi Matematika Sekolah Dasar Kelas 3 Dengan Menggunakan Metode Adaptive Learning"" menjadi salah satu media dalam pendidikan. Dengan sistem komputerisasi, membuat belajar lebih interaktif dalam memberikan dasar matematika untuk siswa muda terutama sekolah dasar. Pada game multitasking ini pengguna dapat bermain dan belajar. Pada game ini juga bersifat adaptif yaitu dapat menyesuaikan level sesuai dengan kemampuan pengguna. Dari seluruh implementasi yang dilakukan didapatkan bahwa metode adaptive learning untuk game edukasi matematika ini berjalan dengan baik. Multitasking pada game edukasi ini membuat siswa kurang konsentrasi pada soal-soal yang ditampilkan. Siswa cenderung pada permainannya. Berdasarkan hasil uji coba yang dilakukan didapat 90,4% responden menyatakan tertarik pada game ini karena skenario game yang dibuat menarik dengan animasi dan gambar latar yang disukai anak-anak.","Development of interactive learning media education pattern games can improve students' motivation. Flash -based games ""Games Education Elementary School Mathematics 3 Grade Method Using Adaptive Learning"" to be one of the media in education. Computerized system makes learning more interactive in delivering basic math to young students, especially elementary school. In the multitasking game users can play and learn. In this game,the system can adaptively adjust its level according to the user's ability. From the testing result we found that the adaptive learning method for math educational game is success. Multitasking on this educational game makes students less focus on the questions that are displayed. Students more attacted to the game. Based on the questionnaire 90.4 % respondents interested in this game because the game created an interesting scenario with animations and background images that kids love."
,,,,,
,,,,,
,,,,,
